title,year,rating,runtime
Spirited Away,2001,8.6,125
Princess Mononoke,1997,8.4,134
My Neighbour Totoro,1988,8.1,86
Howl's Moving Castle,2004,8.2,119
Grave of the Fireflies,1988,8.5,89
Castle in the Sky,1986,8.0,124
Kiki's Delivery Service,1989,7.8,103
Nausicaä of the Valley of the Wind,1984,8.0,117
Porco Rosso,1992,7.7,94
The Wind Rises,2013,7.8,126
Ponyo,2008,7.7,101
Arrietty,2010,7.6,94
Tales from Earthsea,2006,6.4,115
The Cat Returns,2002,7.2,75
