Site,Fire_treatment,SpRich
1,Burnt,1.03
2,Burnt,1.17
3,Burnt,0.72
4,Burnt,0.46
5,Burnt,1.41
6,Burnt,1.77
7,Burnt,0.18
8,Burnt,0.53
9,Burnt,1.17
10,Burnt,0.15
1,Unburnt,0.26
2,Unburnt,0.21
3,Unburnt,0.66
4,Unburnt,0.86
5,Unburnt,0.55
6,Unburnt,0.45
7,Unburnt,0.57
8,Unburnt,0.36
9,Unburnt,0.66
10,Unburnt,0.17
