Id,Petro,dalma,Heber,Platy,Ponde,Plect,Rafin,strop,Zygos,bifol,Const,Cuffe,encru,Escha,fenes,massi,Parvo,ramos,thinr,Ambon,bival,Carit,modio,belle,Cyclo,gastr,Lopho,nauti,Cornu,calym,Cerau,Isote,odont,Cinci,crino,Ecten,Glycr,Ptych
2D038,0,0,0,3,0,3,12,0,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2D039,0,0,0,0,0,3,8,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2D040,0,0,0,0,0,12,5,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2D041,0,0,7,4,0,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2D042,0,0,12,9,0,0,0,0,0,2,0,0,1,0,0,0,0,8,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D043,0,0,2,6,0,0,18,0,2,0,0,1,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D044,0,0,1,5,0,11,14,0,0,0,2,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,0
2D045,0,0,2,0,0,0,14,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2D046,0,1,0,0,0,0,0,20,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2D047,0,40,0,2,0,0,2,27,1,6,0,0,0,0,0,0,0,37,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2D048,0,49,0,0,0,0,0,11,0,0,2,0,3,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0
2D049,0,39,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2D050,0,0,0,3,0,2,10,3,1,0,0,0,3,2,2,0,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
2D051,0,0,10,0,0,8,29,3,2,0,1,0,6,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2D052,1,6,0,1,0,0,2,14,2,1,0,0,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0
2D053,0,0,2,5,0,8,1,1,2,0,10,0,4,1,0,0,0,29,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2D054,0,21,0,1,0,1,2,0,0,0,0,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
2D055,0,0,2,4,1,5,3,0,0,5,5,0,0,10,4,0,0,44,0,1,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,1,0
2D056,0,0,9,1,2,0,12,0,1,0,0,0,5,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2D057,0,0,10,1,1,0,12,0,0,13,1,0,2,0,2,11,5,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
