,x,y,clay1,clay2,clay3,clay4,valsSlope,valsDem
11018,NA,NA,NA,NA,NA,NA,NA,NA
11019,NA,NA,NA,NA,NA,NA,NA,NA
11020,NA,NA,NA,NA,NA,NA,NA,NA
11021,NA,NA,NA,NA,NA,NA,NA,NA
11022,NA,NA,NA,NA,NA,NA,NA,NA
11023,NA,NA,NA,NA,NA,NA,NA,NA
11024,NA,NA,NA,NA,NA,NA,NA,NA
11025,NA,NA,NA,NA,NA,NA,NA,NA
11026,NA,NA,NA,NA,NA,NA,NA,NA
11027,NA,NA,NA,NA,NA,NA,NA,NA
11028,NA,NA,NA,NA,NA,NA,NA,NA
11029,NA,NA,NA,NA,NA,NA,NA,NA
11030,NA,NA,NA,NA,NA,NA,NA,NA
11031,NA,NA,NA,NA,NA,NA,NA,NA
11032,NA,NA,NA,NA,NA,NA,NA,NA
11033,NA,NA,NA,NA,NA,NA,NA,NA
11034,NA,NA,NA,NA,NA,NA,NA,NA
11035,NA,NA,NA,NA,NA,NA,NA,NA
11036,NA,NA,NA,NA,NA,NA,NA,NA
11037,NA,NA,NA,NA,NA,NA,NA,NA
11038,NA,NA,NA,NA,NA,NA,NA,NA
11039,NA,NA,NA,NA,NA,NA,NA,NA
11040,NA,NA,NA,NA,NA,NA,NA,NA
11041,NA,NA,NA,NA,NA,NA,NA,NA
11042,NA,NA,NA,NA,NA,NA,NA,NA
11043,NA,NA,NA,NA,NA,NA,NA,NA
11044,NA,NA,NA,NA,NA,NA,NA,NA
11045,NA,NA,NA,NA,NA,NA,NA,NA
11046,NA,NA,NA,NA,NA,NA,NA,NA
11047,NA,NA,NA,NA,NA,NA,NA,NA
11048,NA,NA,NA,NA,NA,NA,NA,NA
11049,NA,NA,NA,NA,NA,NA,NA,NA
11050,NA,NA,NA,NA,NA,NA,NA,NA
11051,NA,NA,NA,NA,NA,NA,NA,NA
11052,NA,NA,NA,NA,NA,NA,NA,NA
11053,NA,NA,NA,NA,NA,NA,NA,NA
11054,NA,NA,NA,NA,NA,NA,NA,NA
11055,NA,NA,NA,NA,NA,NA,NA,NA
11056,NA,NA,NA,NA,NA,NA,NA,NA
11057,NA,NA,NA,NA,NA,NA,NA,NA
11058,NA,NA,NA,NA,NA,NA,NA,NA
11059,NA,NA,NA,NA,NA,NA,NA,NA
11060,NA,NA,NA,NA,NA,NA,NA,NA
11061,NA,NA,NA,NA,NA,NA,NA,NA
11062,NA,NA,NA,NA,NA,NA,NA,NA
11063,NA,NA,NA,NA,NA,NA,NA,NA
11064,NA,NA,NA,NA,NA,NA,NA,NA
11065,NA,NA,NA,NA,NA,NA,NA,NA
11066,NA,NA,NA,NA,NA,NA,NA,NA
11067,NA,NA,NA,NA,NA,NA,NA,NA
11068,NA,NA,NA,NA,NA,NA,NA,NA
11069,NA,NA,NA,NA,NA,NA,NA,NA
11070,NA,NA,NA,NA,NA,NA,NA,NA
11071,NA,NA,NA,NA,NA,NA,NA,NA
11072,NA,NA,NA,NA,NA,NA,NA,NA
11073,NA,NA,NA,NA,NA,NA,NA,NA
11074,NA,NA,NA,NA,NA,NA,NA,NA
11075,NA,NA,NA,NA,NA,NA,NA,NA
11076,NA,NA,NA,NA,NA,NA,NA,NA
11077,NA,NA,NA,NA,NA,NA,NA,NA
11078,601529.3081,6158997.945,23.261,28.706,35.157,26.851,0.058684122,359.6755981
11079,601557.6423,6158997.945,23.261,28.706,35.157,26.851,0.058789387,358.8368835
11080,601585.9765,6158997.945,23.261,28.706,35.157,26.851,0.061142474,358.0322266
11081,601614.3108,6158997.945,23.876,29.014,34.925,26.204,0.065179475,357.2632141
11082,601642.645,6158997.945,23.876,29.014,34.925,26.204,0.068064183,356.4930115
11083,601670.9792,6158997.945,23.876,29.014,34.925,26.204,0.067034543,355.6595764
11084,601699.3135,6158997.945,23.876,29.014,34.925,26.204,0.061597906,354.7968445
11085,601727.6477,6158997.945,25.44,28.997,32.235,20.079,0.052463189,354.1174927
11086,601755.982,6158997.945,25.44,28.997,32.235,20.079,0.043527912,353.7991028
11087,601784.3162,6158997.945,25.44,28.997,32.235,20.079,0.037561279,353.7636108
11088,601812.6504,6158997.945,25.532,28.883,31.638,18.88,0.035744503,353.9052734
11089,601840.9847,6158997.945,25.532,28.883,31.638,18.88,0.036517266,354.1801147
11090,601869.3189,6158997.945,25.532,28.883,31.638,18.88,0.036877222,354.5155945
11091,601897.6531,6158997.945,25.532,28.883,31.638,18.88,0.035527457,354.8353882
11092,601925.9874,6158997.945,25.23,28.829,31.836,19.457,0.032407656,355.1026001
11093,601954.3216,6158997.945,25.23,28.829,31.836,19.457,0.028068952,355.2649536
11094,601982.6558,6158997.945,25.23,28.829,31.836,19.457,0.022499159,355.3034668
11095,602010.9901,6158997.945,25.155,28.084,29.848,15.814,0.016469391,355.2662048
11096,602039.3243,6158997.945,25.155,28.084,29.848,15.814,0.012036258,355.2545776
11097,602067.6585,6158997.945,25.155,28.084,29.848,15.814,0.010976368,355.3371582
11098,602095.9928,6158997.945,25.155,28.084,29.848,15.814,0.015188097,355.5903015
11099,602124.327,6158997.945,24.306,28.647,32.59,21.581,0.022981536,356.1042786
11100,602152.6612,6158997.945,24.306,28.647,32.59,21.581,0.029577622,356.8659058
11101,602180.9955,6158997.945,24.306,28.647,32.59,21.581,0.033095263,357.7715149
11102,602209.3297,6158997.945,23.876,29.127,34.386,25.129,0.03382064,358.7362976
11103,602237.664,6158997.945,23.876,29.127,34.386,25.129,0.030200012,359.6804504
11104,602265.9982,6158997.945,23.876,29.127,34.386,25.129,0.022632783,360.4291992
11105,602294.3324,6158997.945,23.876,29.127,34.386,25.129,0.016368581,360.9416199
11106,602322.6667,6158997.945,24.004,29.759,35.669,27.244,0.01603076,361.3545532
11107,602351.0009,6158997.945,24.004,29.759,35.669,27.244,0.020187961,361.8373718
11108,602379.3351,6158997.945,24.004,29.759,35.669,27.244,0.023734225,362.4685059
11109,602407.6694,6158997.945,24.697,29.96,34.857,24.912,0.024123156,363.1594849
11110,602436.0036,6158997.945,24.697,29.96,34.857,24.912,0.022151073,363.8233643
11111,602464.3378,6158997.945,24.697,29.96,34.857,24.912,0.01820942,364.4024353
11112,602492.6721,6158997.945,24.697,29.96,34.857,24.912,0.015227148,364.8424377
11113,602521.0063,6158997.945,25.51,29.738,32.771,20.22,0.017164798,365.2635803
11114,602549.3405,6158997.945,25.51,29.738,32.771,20.22,0.023070637,365.8009338
11115,602577.6748,6158997.945,25.51,29.738,32.771,20.22,0.029337812,366.5093994
11116,602606.009,6158997.945,25.227,29.734,33.022,20.671,0.032417908,367.3758545
11117,602634.3433,6158997.945,25.227,29.734,33.022,20.671,0.030451257,368.2595215
11118,602662.6775,6158997.945,25.227,29.734,33.022,20.671,0.026163505,369.0340271
11119,602691.0117,6158997.945,25.227,29.734,33.022,20.671,0.023854183,369.7148132
11120,602719.346,6158997.945,25.276,29.219,31.396,17.402,0.026365805,370.3856812
11121,602747.6802,6158997.945,25.276,29.219,31.396,17.402,0.031032402,371.204071
11122,602776.0144,6158997.945,25.276,29.219,31.396,17.402,0.032189328,372.1392212
11123,602804.3487,6158997.945,25.065,29.361,31.925,18.314,0.029610926,373.026123
11124,602832.6829,6158997.945,25.065,29.361,31.925,18.314,0.025871495,373.816803
11125,602861.0171,6158997.945,25.065,29.361,31.925,18.314,0.020495525,374.4924011
11126,602889.3514,6158997.945,25.065,29.361,31.925,18.314,0.013464927,374.9775391
11127,602917.6856,6158997.945,25.975,29.226,29.928,13.711,0.008273055,375.2506714
11128,602946.0198,6158997.945,25.975,29.226,29.928,13.711,0.008779584,375.4458313
11129,602974.3541,6158997.945,25.975,29.226,29.928,13.711,0.013725965,375.7449036
11130,603002.6883,6158997.945,24.482,30.421,35.451,25.213,0.018297205,376.2210693
11131,603031.0226,6158997.945,24.482,30.421,35.451,25.213,0.020183694,376.7817688
11132,603059.3568,6158997.945,24.482,30.421,35.451,25.213,0.019700291,377.3648987
11133,603087.691,6158997.945,24.482,30.421,35.451,25.213,0.016503647,377.8977356
