soil_treatment,training_crop,feedback_crop,replication,shoot_mass_g,root_mass_g,total_mass_g
Control,Maize,Canola,2,2.789999999999999,0.8483301343570053,3.6383301343570045
Control,Maize,Canola,3,2.969999999999999,0.8347297297297297,3.8047297297297287
Control,Maize,Canola,4,3.7,1.1284337349397584,4.828433734939758
Control,Maize,Canola,5,3.1800000000000006,1.0054918032786886,4.185491803278689
Control,Maize,Canola,6,2.879999999999999,1.3825141015310234,4.262514101531022
Control,Maize,Canola,7,3.9399999999999995,1.3947696139476962,5.334769613947696
Control,Maize,Canola,8,3.8600000000000003,0.7563600000000001,4.61636
Control,Maize,Soybean,1,2.539999999999999,0.9017021276595738,3.441702127659573
Control,Maize,Soybean,2,3.139999999999999,1.0693596059113295,4.209359605911328
Control,Maize,Soybean,3,3.1800000000000006,0.9273333333333326,4.107333333333333
Control,Maize,Soybean,4,2.7699999999999996,1.2144649446494464,3.984464944649446
Control,Maize,Soybean,5,3.0599999999999987,1.7051781472684087,4.765178147268408
Control,Maize,Soybean,6,3.5599999999999996,1.0772809667673715,4.637280966767371
Control,Maize,Soybean,7,3.2699999999999996,1.375188916876574,4.645188916876574
Control,Maize,Soybean,8,3.379999999999999,1.4156682027649772,4.795668202764976
Control,Maize,Maize,1,3.37,2.260632678132678,5.630632678132678
Control,Maize,Maize,2,2.1799999999999997,1.3389776357827472,3.518977635782747
Control,Maize,Maize,3,3.1099999999999994,1.9701298701298706,5.08012987012987
Control,Maize,Maize,4,2.8199999999999994,2.280980781974818,5.100980781974817
Control,Maize,Maize,5,2.79,2.0711315417256015,4.861131541725602
Control,Maize,Maize,6,3.3200000000000003,1.5080497925311198,4.82804979253112
Control,Maize,Maize,7,2.2699999999999996,1.5499328859060397,3.8199328859060393
Control,Maize,Maize,8,2.339999999999999,1.9402247191011224,4.280224719101121
Control,Maize,Wheat,1,2.38,0.8403409090909091,3.220340909090909
Control,Maize,Wheat,2,2.01,0.4199999999999998,2.4299999999999997
Control,Maize,Wheat,3,2.0999999999999996,0.7609523809523806,2.86095238095238
Control,Maize,Wheat,4,2.3199999999999994,0.5041379310344825,2.824137931034482
Control,Maize,Wheat,5,2.3200000000000003,0.7388059701492539,3.0588059701492543
Control,Maize,Wheat,6,2.049999999999999,0.5015999999999994,2.5515999999999983
Control,Maize,Wheat,7,2.0599999999999996,0.61316923076923,2.6731692307692296
Control,Maize,Wheat,8,2.26,0.49915384615384606,2.759153846153846
Control,Maize,Alfalfa,1,1.2999999999999998,1.4486956521739125,2.7486956521739123
Control,Maize,Alfalfa,2,0.5299999999999994,0.1816216216216212,0.7116216216216206
Control,Maize,Alfalfa,3,1.1399999999999997,0.9231556503198287,2.0631556503198283
Control,Maize,Alfalfa,4,0.7999999999999998,1.086811989100817,1.8868119891008168
Control,Maize,Alfalfa,5,0.9499999999999993,0.9516666666666662,1.9016666666666655
Control,Maize,Alfalfa,6,1.1799999999999997,1.1313647642679896,2.3113647642679895
Control,Maize,Alfalfa,7,0.6399999999999997,0.14691358024691306,0.7869135802469127
Control,Maize,Alfalfa,8,1.0499999999999998,0.8392857142857143,1.8892857142857142
Control,Wheat,Canola,1,2.6899999999999995,0.8666666666666659,3.5566666666666653
Control,Wheat,Canola,2,3.1999999999999993,0.9839355992844362,4.183935599284435
Control,Wheat,Canola,3,3.71,0.9612304687499996,4.671230468749999
Control,Wheat,Canola,4,2.4800000000000004,1.1790374331550804,3.659037433155081
Control,Wheat,Canola,5,3.66,1.0318359374999995,4.6918359375
Control,Wheat,Canola,6,2.6000000000000005,1.048258064516129,3.6482580645161296
Control,Wheat,Canola,7,2.92,0.938574338085539,3.858574338085539
Control,Wheat,Canola,8,3.26,0.9833450704225353,4.243345070422535
Control,Wheat,Soybean,1,3.419999999999999,1.3229769959404598,4.742976995940459
Control,Wheat,Soybean,2,3.2799999999999994,1.2091370558375627,4.489137055837562
Control,Wheat,Soybean,3,2.879999999999999,1.0557575757575757,3.9357575757575747
Control,Wheat,Soybean,4,2.7800000000000002,1.1490552325581391,3.9290552325581394
Control,Wheat,Soybean,5,2.1899999999999995,0.9952838427947592,3.1852838427947585
Control,Wheat,Soybean,6,2.6500000000000004,0.8786503067484652,3.5286503067484656
Control,Wheat,Soybean,7,3.3600000000000003,0.9347058823529406,4.294705882352941
Control,Wheat,Soybean,8,3.09,1.067299999999999,4.157299999999999
Control,Wheat,Maize,1,2.46,1.5137290033594621,3.973729003359462
Control,Wheat,Maize,2,2.13,2.02831834532374,4.15831834532374
Control,Wheat,Maize,3,2.14,1.9248539325842697,4.06485393258427
Control,Wheat,Maize,4,3.27,2.1272848101265813,5.397284810126582
Control,Wheat,Maize,5,2.35,2.0541369863013696,4.40413698630137
Control,Wheat,Maize,6,2.06,1.8108273667462202,3.8708273667462203
Control,Wheat,Maize,7,2.13,1.8902343750000004,4.020234375
Control,Wheat,Maize,8,2.04,2.1003097040605647,4.140309704060565
Control,Wheat,Wheat,1,3.1899999999999995,0.714378378378378,3.9043783783783774
Control,Wheat,Wheat,2,2.7799999999999994,0.6545604395604389,3.434560439560438
Control,Wheat,Wheat,3,2.249999999999999,0.37259615384615336,2.6225961538461524
Control,Wheat,Wheat,5,2.8499999999999996,0.5694230769230766,3.419423076923076
Control,Wheat,Wheat,6,2.7699999999999996,0.9478585461689581,3.7178585461689577
Control,Wheat,Wheat,7,2.8199999999999994,0.9166025641025631,3.7366025641025624
Control,Wheat,Wheat,8,2.6799999999999997,0.5827586206896547,3.262758620689654
Control,Wheat,Alfalfa,1,1.0499999999999998,1.0140677966101692,2.064067796610169
Control,Wheat,Alfalfa,2,1,0.5095402298850569,1.5095402298850569
Control,Wheat,Alfalfa,3,0.96,0.7534105960264894,1.7134105960264894
Control,Wheat,Alfalfa,4,1.1899999999999995,0.5417763157894728,1.7317763157894723
Control,Wheat,Alfalfa,5,1.0299999999999994,0.6150453172205439,1.6450453172205433
Control,Wheat,Alfalfa,6,1,0.7199570815450637,1.7199570815450635
Control,Wheat,Alfalfa,7,1.0299999999999994,0.2949438202247191,1.3249438202247186
Control,Wheat,Alfalfa,8,0.7199999999999998,0.3053435114503817,1.0253435114503815
Control,Alfalfa,Canola,1,2.9800000000000004,1.1026966292134825,4.082696629213483
Control,Alfalfa,Canola,2,4.12,1.2952020202020196,5.4152020202020195
Control,Alfalfa,Canola,3,2.6400000000000006,1.3739140022050704,4.013914002205071
Control,Alfalfa,Canola,4,3,0.9400770712909438,3.940077071290944
Control,Alfalfa,Canola,5,3.6099999999999994,1.0219153225806452,4.631915322580644
Control,Alfalfa,Canola,6,3.7700000000000005,1.08476923076923,4.8547692307692305
Control,Alfalfa,Canola,7,3.34,1.4146236559139782,4.754623655913978
Control,Alfalfa,Canola,8,3.4299999999999997,1.1374999999999997,4.567499999999999
Control,Alfalfa,Soybean,1,1.7199999999999989,0.8287245841035121,2.548724584103511
Control,Alfalfa,Soybean,2,2.7,0.9622749999999991,3.6622749999999993
Control,Alfalfa,Soybean,3,1.9100000000000001,0.763409461663947,2.673409461663947
Control,Alfalfa,Soybean,4,2.549999999999999,1.096968152866242,3.6469681528662408
Control,Alfalfa,Soybean,5,1.5799999999999992,0.8567753001715258,2.436775300171525
Control,Alfalfa,Soybean,6,1.4299999999999997,0.4227272727272725,1.8527272727272721
Control,Alfalfa,Soybean,7,2.219999999999999,0.9069637883008355,3.1269637883008343
Control,Alfalfa,Soybean,8,2.0599999999999996,0.9049800796812744,2.9649800796812738
Control,Alfalfa,Maize,1,3.879999999999999,2.9100509495136633,6.790050949513662
Control,Alfalfa,Maize,2,3.049999999999999,3.3603351955307255,6.410335195530724
Control,Alfalfa,Maize,3,3.039999999999999,2.5554241645244202,5.595424164524419
Control,Alfalfa,Maize,4,3.5699999999999994,3.0950570342205315,6.665057034220531
Control,Alfalfa,Maize,5,3.25,2.4759932982288184,5.725993298228818
Control,Alfalfa,Maize,6,3.119999999999999,2.2122537764350443,5.332253776435044
Control,Alfalfa,Maize,7,2.7299999999999995,2.199107896323086,4.929107896323085
Control,Alfalfa,Maize,8,3.3200000000000003,2.0338850174216025,5.353885017421603
Control,Alfalfa,Wheat,1,3.459999999999999,0.7293854748603348,4.189385474860334
Control,Alfalfa,Wheat,2,2.9799999999999995,0.40249999999999986,3.3824999999999994
Control,Alfalfa,Wheat,3,3.0600000000000005,0.87503448275862,3.9350344827586206
Control,Alfalfa,Wheat,4,3.389999999999999,0.84320474777448,4.2332047477744785
Control,Alfalfa,Wheat,5,3.419999999999999,0.7540540540540531,4.174054054054052
Control,Alfalfa,Wheat,6,2.619999999999999,0.42677083333333315,3.0467708333333325
Control,Alfalfa,Wheat,7,3.3499999999999996,0.6164307692307684,3.966430769230768
Control,Alfalfa,Wheat,8,2.759999999999999,0.7400790513833982,3.500079051383397
Control,Alfalfa,Alfalfa,1,1.2999999999999998,0.7702052785923753,2.070205278592375
Control,Alfalfa,Alfalfa,2,0.5999999999999996,0.25199999999999995,0.8519999999999996
Control,Alfalfa,Alfalfa,3,0.4299999999999997,0.03307692307692237,0.4630769230769221
Control,Alfalfa,Alfalfa,4,0.45999999999999996,0.1486956521739121,0.6086956521739121
Control,Alfalfa,Alfalfa,5,1.0099999999999998,0.4735499999999999,1.4835499999999997
Control,Alfalfa,Alfalfa,6,1.0699999999999994,1.4621597096188743,2.532159709618874
Control,Alfalfa,Alfalfa,7,0.9299999999999997,0.3562100456621005,1.2862100456621002
Control,Alfalfa,Alfalfa,8,1.13,0.5830872483221471,1.713087248322147
Nutrient,Canola,Canola,1,3.84,0.35608695652173883,4.1960869565217385
Nutrient,Canola,Canola,2,4.81,0.613916349809886,5.423916349809885
Nutrient,Canola,Canola,3,3.4299999999999997,0.5349629629629629,3.9649629629629626
Nutrient,Canola,Canola,4,4.32,0.7064935064935062,5.026493506493506
Nutrient,Canola,Canola,5,5.34,0.8100591715976324,6.150059171597633
Nutrient,Canola,Canola,6,3.3999999999999995,0.47798742138364714,3.8779874213836467
Nutrient,Canola,Canola,7,4.15,0.535367231638418,4.685367231638418
Nutrient,Canola,Canola,8,4.18,0.6119718309859152,4.791971830985915
Nutrient,Canola,Soybean,1,3.219999999999999,1.1784403669724768,4.398440366972475
Nutrient,Canola,Soybean,2,3.879999999999999,0.9694285714285715,4.849428571428571
Nutrient,Canola,Soybean,3,2.499999999999999,0.841595744680851,3.34159574468085
Nutrient,Canola,Soybean,4,2.969999999999999,0.9230075187969922,3.893007518796991
Nutrient,Canola,Soybean,5,2.619999999999999,0.8209876543209879,3.440987654320987
Nutrient,Canola,Soybean,6,2.0300000000000002,0.7504030710172733,2.7804030710172736
Nutrient,Canola,Soybean,7,3,0.9529708222811663,3.9529708222811664
Nutrient,Canola,Soybean,8,2.74,0.8554354838709677,3.595435483870968
Nutrient,Canola,Maize,1,4.5600000000000005,1.9274034334763952,6.487403433476396
Nutrient,Canola,Maize,2,5.95,3.3192951541850224,9.269295154185023
Nutrient,Canola,Maize,3,4.92,2.4897925311203313,7.409792531120331
Nutrient,Canola,Maize,4,4.949999999999999,2.1336605080831412,7.08366050808314
Nutrient,Canola,Maize,5,4.9399999999999995,1.910189959294437,6.850189959294436
Nutrient,Canola,Maize,6,5.049999999999999,2.2756433184302027,7.325643318430202
Nutrient,Canola,Maize,7,5.03,2.0270070011668615,7.057007001166862
Nutrient,Canola,Maize,8,7.68,2.189134670487105,9.869134670487105
Nutrient,Canola,Wheat,1,4.24,0.8148148148148145,5.054814814814815
Nutrient,Canola,Wheat,2,4.609999999999999,0.880824295010845,5.490824295010844
Nutrient,Canola,Wheat,3,3.3999999999999995,0.6004010025062649,4.000401002506265
Nutrient,Canola,Wheat,4,4.16,0.7473076923076922,4.907307692307692
Nutrient,Canola,Wheat,5,4.41,1.0807754442649435,5.490775444264944
Nutrient,Canola,Wheat,6,3.37,0.7757867132867132,4.1457867132867134
Nutrient,Canola,Wheat,7,4.15,0.7334934497816595,4.88349344978166
Nutrient,Canola,Wheat,8,4.789999999999999,0.8522727272727273,5.642272727272727
Nutrient,Canola,Alfalfa,1,0.6999999999999993,0.2745161290322575,0.9745161290322568
Nutrient,Canola,Alfalfa,2,0.5899999999999999,0.3007594936708852,0.8907594936708851
Nutrient,Canola,Alfalfa,3,0.09999999999999964,0,0.09999999999999964
Nutrient,Canola,Alfalfa,4,0.4299999999999997,0.12085106382978734,0.5508510638297871
Nutrient,Canola,Alfalfa,5,0.23999999999999932,0.10338461538461548,0.3433846153846148
Nutrient,Canola,Alfalfa,6,0.20999999999999996,0.10274193548387008,0.31274193548387
Nutrient,Canola,Alfalfa,7,0.3899999999999997,0.05446808510638182,0.44446808510638147
Nutrient,Canola,Alfalfa,8,0.7699999999999996,0.34553191489361706,1.1155319148936167
Nutrient,Soybean,Canola,1,9.209999999999999,1.152,10.361999999999998
Nutrient,Soybean,Canola,2,7.339999999999999,1.4028185907046469,8.742818590704646
Nutrient,Soybean,Canola,3,7.41,0.9126099706744866,8.322609970674486
Nutrient,Soybean,Canola,4,6.82,0.9278431372549019,7.747843137254902
Nutrient,Soybean,Canola,5,7.15,1.1852398523985237,8.335239852398525
Nutrient,Soybean,Canola,6,7.4799999999999995,1.5511764705882347,9.031176470588234
Nutrient,Soybean,Canola,7,7.459999999999999,1.76440170940171,9.22440170940171
Nutrient,Soybean,Canola,8,9.620000000000001,1.5954716981132064,11.215471698113207
Nutrient,Soybean,Soybean,1,2.1799999999999997,0.7230143540669856,2.9030143540669853
Nutrient,Soybean,Soybean,2,2.3099999999999996,0.9160173160173154,3.226017316017315
Nutrient,Soybean,Soybean,3,3.549999999999999,1.4621559268098643,5.012155926809863
Nutrient,Soybean,Soybean,4,2.5299999999999994,1.0720746432491761,3.6020746432491757
Nutrient,Soybean,Soybean,5,3.3899999999999997,1.09957356076759,4.48957356076759
Nutrient,Soybean,Soybean,6,1.7799999999999994,1.0595021961932651,2.8395021961932647
Nutrient,Soybean,Soybean,7,2.42,0.7340161725067382,3.154016172506738
Nutrient,Soybean,Soybean,8,0.39999999999999947,0.1899999999999995,0.589999999999999
Nutrient,Soybean,Maize,1,10.259999999999998,3.3401432664756436,13.60014326647564
Nutrient,Soybean,Maize,2,10.549999999999997,3.9223925747679607,14.472392574767959
Nutrient,Soybean,Maize,3,9.35,3.858705225106802,13.208705225106801
Nutrient,Soybean,Maize,4,9.09,3.6426955848179703,12.73269558481797
Nutrient,Soybean,Maize,5,8.969999999999999,3.54105112620665,12.511051126206649
Nutrient,Soybean,Maize,6,11.34,3.338209796272215,14.678209796272215
Nutrient,Soybean,Maize,7,9.84,4.029641025641026,13.869641025641027
Nutrient,Soybean,Maize,8,10.489999999999998,3.483042789223455,13.973042789223452
Nutrient,Soybean,Wheat,1,6.049999999999999,0.8563404255319143,6.906340425531913
Nutrient,Soybean,Wheat,2,7.6899999999999995,1.305842349304482,8.995842349304482
Nutrient,Soybean,Wheat,3,7.11,1.5417385444743932,8.651738544474394
Nutrient,Soybean,Wheat,4,6.83,1.0182459677419355,7.848245967741936
Nutrient,Soybean,Wheat,5,6.809999999999999,1.2142806394316163,8.024280639431614
Nutrient,Soybean,Wheat,6,7.009999999999999,1.1535953177257523,8.16359531772575
Nutrient,Soybean,Wheat,7,5.73,0.9349822064056933,6.664982206405694
Nutrient,Soybean,Wheat,8,7.16,1.2042105263157892,8.364210526315789
Nutrient,Soybean,Alfalfa,1,0.5299999999999994,0.12452054794520528,0.6545205479452046
Nutrient,Soybean,Alfalfa,2,0.21999999999999975,0.05508196721311358,0.27508196721311334
Nutrient,Soybean,Alfalfa,3,0.34999999999999964,0.085555555555555,0.43555555555555464
Nutrient,Soybean,Alfalfa,4,0.08999999999999986,0.009999999999999787,0.09999999999999964
Nutrient,Soybean,Alfalfa,5,0.1299999999999999,0.014074074074073774,0.14407407407407366
Nutrient,Soybean,Alfalfa,6,0.019999999999999574,0,0.019999999999999574
Nutrient,Soybean,Alfalfa,7,0.08999999999999986,0,0.08999999999999986
Nutrient,Soybean,Alfalfa,8,0.09999999999999964,0,0.09999999999999964
Nutrient,Maize,Canola,1,5.219999999999999,1.0895480225988703,6.309548022598869
Nutrient,Maize,Canola,2,5.78,1.0815636363636358,6.861563636363636
Nutrient,Maize,Canola,3,4.49,0.562837837837837,5.052837837837838
Nutrient,Maize,Canola,4,5.119999999999999,0.48219178082191716,5.602191780821917
Nutrient,Maize,Canola,5,4.9,0.568275862068965,5.468275862068966
Nutrient,Maize,Canola,6,4.889999999999999,0.8658548009367675,5.755854800936766
Nutrient,Maize,Canola,7,4.8500000000000005,0.4692771084337351,5.319277108433735
Nutrient,Maize,Canola,8,5.02,0.8987919463087244,5.918791946308724
Nutrient,Maize,Soybean,1,1.96,0.9184531886024414,2.8784531886024416
Nutrient,Maize,Soybean,2,2.26,1.4082862190812717,3.6682862190812715
Nutrient,Maize,Soybean,3,2.4300000000000006,1.2699173553719008,3.6999173553719014
Nutrient,Maize,Soybean,4,2.619999999999999,1.754832451499118,4.374832451499117
Nutrient,Maize,Soybean,5,2.219999999999999,1.9312348178137657,4.151234817813765
Nutrient,Maize,Soybean,6,2.5700000000000003,1.9787301587301585,4.548730158730159
Nutrient,Maize,Soybean,7,3.3099999999999996,1.5616015037593978,4.871601503759397
Nutrient,Maize,Soybean,8,2.6999999999999993,1.376805555555555,4.076805555555554
Nutrient,Maize,Maize,1,5.3999999999999995,2.9279262672811055,8.327926267281105
Nutrient,Maize,Maize,2,4.34,2.9398602701443872,7.279860270144387
Nutrient,Maize,Maize,3,4.9,2.3259701492537315,7.225970149253731
Nutrient,Maize,Maize,4,5.6499999999999995,3.9133322683706075,9.563332268370607
Nutrient,Maize,Maize,5,5.31,2.2322855620671285,7.5422855620671285
Nutrient,Maize,Maize,6,5.48,2.772902208201892,8.252902208201892
Nutrient,Maize,Maize,7,6.13,4.39133631713555,10.52133631713555
Nutrient,Maize,Maize,8,4.43,5.261161161161161,9.691161161161162
Nutrient,Maize,Wheat,1,4.24,0.8892110091743113,5.129211009174312
Nutrient,Maize,Wheat,2,4.12,0.7919230769230768,4.911923076923077
Nutrient,Maize,Wheat,3,4.029999999999999,0.9601027397260271,4.9901027397260265
Nutrient,Maize,Wheat,4,3.629999999999999,1.6310104529616714,5.261010452961671
Nutrient,Maize,Wheat,5,5.119999999999999,1.511679389312977,6.631679389312977
Nutrient,Maize,Wheat,6,5.1000000000000005,1.1726141078838175,6.272614107883818
Nutrient,Maize,Wheat,7,3.7799999999999994,1.2395377128953766,5.019537712895376
Nutrient,Maize,Wheat,8,3.5199999999999996,1.0307926829268288,4.550792682926828
Nutrient,Maize,Alfalfa,1,0.4399999999999995,0.11542857142857026,0.5554285714285697
Nutrient,Maize,Alfalfa,2,0.7999999999999998,0.23555555555555577,1.0355555555555556
Nutrient,Maize,Alfalfa,3,1.0199999999999996,0.4183285302593659,1.4383285302593656
Nutrient,Maize,Alfalfa,4,0.7599999999999998,0.23071428571428512,0.9907142857142849
Nutrient,Maize,Alfalfa,5,0.17999999999999972,0.060999999999998694,0.2409999999999984
Nutrient,Maize,Alfalfa,6,0.6099999999999994,0.17343283582089514,0.7834328358208946
Nutrient,Maize,Alfalfa,7,0.08000000000000007,0,0.08000000000000007
Nutrient,Maize,Alfalfa,8,0.5599999999999996,0.3846802325581396,0.9446802325581392
Nutrient,Wheat,Canola,1,3.7699999999999996,0.5451583710407235,4.315158371040723
Nutrient,Wheat,Canola,2,4.529999999999999,0.5853413654618467,5.1153413654618465
Nutrient,Wheat,Canola,3,5.239999999999999,0.6946058091286308,5.93460580912863
Nutrient,Wheat,Canola,4,5.17,0.5686013986013984,5.738601398601398
Nutrient,Wheat,Canola,5,4.76,0.5874683544303795,5.347468354430379
Nutrient,Wheat,Canola,6,6.13,0.7235643564356434,6.853564356435643
Nutrient,Wheat,Canola,7,6.359999999999999,0.7108264462809911,7.07082644628099
Nutrient,Wheat,Canola,8,5.859999999999999,0.9645810055865918,6.824581005586591
Nutrient,Wheat,Soybean,1,2.9399999999999995,1.0826237054085155,4.022623705408515
Nutrient,Wheat,Soybean,2,3.33,1.2933774834437084,4.623377483443709
Nutrient,Wheat,Soybean,3,2.919999999999999,1.2229249011857708,4.14292490118577
Nutrient,Wheat,Soybean,4,3.59,1.598703870387038,5.188703870387037
Nutrient,Wheat,Soybean,5,2.83,1.0546341463414628,3.8846341463414626
Nutrient,Wheat,Soybean,6,4.11,1.2489473684210526,5.3589473684210525
Nutrient,Wheat,Soybean,7,4.6899999999999995,1.3574226804123708,6.04742268041237
Nutrient,Wheat,Soybean,8,2.1899999999999995,0.747978910369068,2.9379789103690674
Nutrient,Wheat,Maize,1,4.64,1.9619212598425195,6.601921259842519
Nutrient,Wheat,Maize,2,4.99,2.4737999999999998,7.4638
Nutrient,Wheat,Maize,3,9.12,3.161935784085622,12.281935784085622
Nutrient,Wheat,Maize,4,6.11,3.2877082395317423,9.397708239531742
Nutrient,Wheat,Maize,5,5.93,2.685370258880192,8.615370258880192
Nutrient,Wheat,Maize,6,6.879999999999999,3.737830637488106,10.617830637488105
Nutrient,Wheat,Maize,7,9.11,3.6569129864451244,12.766912986445124
Nutrient,Wheat,Maize,8,6.4,3.482899513058876,9.882899513058877
Nutrient,Wheat,Wheat,1,5.889999999999999,0.8038834951456308,6.69388349514563
Nutrient,Wheat,Wheat,2,5.6,1.0056049822064053,6.605604982206405
